,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
DQ,0.00017497812773403323,0.0018146624727800628,0.0009004373552868536,0.0031840796019900496,0.0017356089094590686,0.0008020854220974534,0.0007321984257733846,0.0009871668311944718
DR,0.0015748031496062992,0.002056617469150738,0.002572678157962439,0.0015920398009950248,0.00101243853051779,0.0026067776218167233,0.002196595277320154,0.003243548159638979
DS,0.002099737532808399,0.0049600774255988385,0.002315410342166195,0.004776119402985075,0.0026034133641886026,0.003408863043914177,0.005125388980413692,0.0029615004935834156
DT,0.003499562554680665,0.0036293249455601256,0.0034731155132492926,0.001990049751243781,0.0023141452126120912,0.00180469219971927,0.003660992128866923,0.0023974051614722887
DU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DV,0.003674540682414698,0.0026615049600774254,0.0033444816053511705,0.00417910447761194,0.0026034133641886026,0.0023059955885301785,0.004210140948196961,0.0035255958256945425
DW,0.00017497812773403323,0.0007258649891120251,0.0007718034473887317,0.0005970149253731343,0.0005785363031530228,0.0007018247443352717,0.0005491488193300384,0.0004230714990833451
DY,0.002274715660542432,0.0015727074764093879,0.0032158476974530484,0.001990049751243781,0.0021695111368238355,0.00180469219971927,0.0031118433095368844,0.0007051191651389084
D*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EA,0.0024496937882764656,0.0024195499637067507,0.002829945973758683,0.007562189054726368,0.002458779288400347,0.00360938439943854,0.001098297638660077,0.0022563813284445073
EC,0.00017497812773403323,0.0006048874909266877,0.0002572678157962439,0.0007960199004975124,0.0014463407578825572,0.0010026067776218166,0.0009152480322167307,0.0012692144972500353
ED,0.0024496937882764656,0.0024195499637067507,0.0019295086184718292,0.003980099502487562,0.0011570726063060456,0.003108081010627632,0.0020135456708768075,0.0021153574954167254
EE,0.004199475065616798,0.003750302443745463,0.002701312065860561,0.00417910447761194,0.00303731559155337,0.004912773210346902,0.002196595277320154,0.0045127626568890146
EF,0.0029746281714785653,0.0025405274618920883,0.0019295086184718292,0.0029850746268656717,0.0018802429852473243,0.001503910166432725,0.0023796448837635,0.0011281906642222536
EG,0.0019247594050743656,0.002782482458262763,0.0018008747105737071,0.004975124378109453,0.002458779288400347,0.0027070382995789052,0.001098297638660077,0.0022563813284445073
EH,0.0010498687664041995,0.0013307524800387127,0.0006431695394906097,0.0005970149253731343,0.00101243853051779,0.000902346099859635,0.0009152480322167307,0.0005640953321111268
EI,0.006124234470691163,0.0035083474473747885,0.002829945973758683,0.003383084577114428,0.0028926815157651145,0.0022057349107679966,0.004210140948196961,0.0021153574954167254
EK,0.00647419072615923,0.003024437454633438,0.0029585798816568047,0.004776119402985075,0.00202487706103558,0.002506516944054542,0.002196595277320154,0.0016922859963333804
EL,0.008223972003499563,0.004597144931042826,0.006303061487007975,0.006766169154228856,0.0028926815157651145,0.00481251253258472,0.005125388980413692,0.0028204766605556338
EM,0.0012248468941382328,0.0016936849745947254,0.0016722408026755853,0.0007960199004975124,0.0008678044547295343,0.0010026067776218166,0.0009152480322167307,0.0012692144972500353
EN,0.004374453193350831,0.003387369949189451,0.0030872137895549268,0.003980099502487562,0.0013017066820943013,0.002506516944054542,0.0031118433095368844,0.0009871668311944718
EO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP,0.0031496062992125984,0.002056617469150738,0.0019295086184718292,0.0009950248756218905,0.0014463407578825572,0.0022057349107679966,0.0009152480322167307,0.0026794528275278524
EQ,0.003849518810148731,0.0025405274618920883,0.002572678157962439,0.0009950248756218905,0.0013017066820943013,0.001503910166432725,0.001098297638660077,0.001833309829361162
ER,0.0019247594050743656,0.004113234938301476,0.0019295086184718292,0.0021890547263681594,0.0014463407578825572,0.003108081010627632,0.0014643968515467693,0.003807643491750106
ES,0.0033245844269466315,0.0025405274618920883,0.0016722408026755853,0.0025870646766169153,0.0021695111368238355,0.0019049528774814518,0.0032948929159802307,0.0035255958256945425
ET,0.0033245844269466315,0.0026615049600774254,0.0019295086184718292,0.0029850746268656717,0.0027480474399768588,0.0023059955885301785,0.0027457440966501922,0.0033845719926667607
EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV,0.004024496937882764,0.002298572465521413,0.0033444816053511705,0.004776119402985075,0.0023141452126120912,0.0032083416883898134,0.0027457440966501922,0.0025384289945000705
EW,0.0006999125109361329,0.0006048874909266877,0.0010290712631849757,0.0011940298507462687,0.0002892681515765114,0.0005013033888109083,0.0005491488193300384,0.0002820476660555634
EY,0.0017497812773403325,0.0019356399709654004,0.002186776434268073,0.0023880597014925373,0.0018802429852473243,0.00120312813314618,0.004759289767527,0.0004230714990833451
E*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA,0.004024496937882764,0.0029034599564481006,0.0033444816053511705,0.0021890547263681594,0.00202487706103558,0.0022057349107679966,0.0018304960644334614,0.0011281906642222536
FC,0.0012248468941382328,0.00024195499637067505,0.0007718034473887317,0.0007960199004975124,0.00202487706103558,0.00180469219971927,0.0007321984257733846,0.0011281906642222536
FD,0.0026246719160104987,0.003024437454633438,0.0037303833290455364,0.0027860696517412937,0.0018802429852473243,0.0017044315219570884,0.002562694490206846,0.0011281906642222536
FE,0.002099737532808399,0.002056617469150738,0.002444044250064317,0.0031840796019900496,0.0017356089094590686,0.0010026067776218166,0.0003660992128866923,0.0005640953321111268
FF,0.003674540682414698,0.002298572465521413,0.002444044250064317,0.0023880597014925373,0.0026034133641886026,0.002506516944054542,0.001281347245103423,0.0014102383302778169
FG,0.002099737532808399,0.0035083474473747885,0.002315410342166195,0.0021890547263681594,0.00202487706103558,0.0020052135552436332,0.0018304960644334614,0.0022563813284445073
FH,0.0006999125109361329,0.0009678199854827002,0.0009004373552868536,0.0003980099502487562,0.0017356089094590686,0.0011028674553839983,0.0009152480322167307,0.0008461429981666902
FI,0.004199475065616798,0.004597144931042826,0.0034731155132492926,0.005771144278606965,0.0028926815157651145,0.0019049528774814518,0.0054914881933003845,0.0011281906642222536
FK,0.003674540682414698,0.0036293249455601256,0.0029585798816568047,0.003781094527363184,0.0034712178189181373,0.00180469219971927,0.004393190554640308,0.0007051191651389084
FL,0.005249343832020997,0.003750302443745463,0.005273990223823,0.006169154228855721,0.006363899334683252,0.005714858632444355,0.004942339373970346,0.003666619658722324
FM,0.0008748906386701663,0.0014517299782240503,0.0007718034473887317,0.0005970149253731343,0.001590974833670813,0.00060156406657309,0.001281347245103423,0.0009871668311944718
FN,0.002274715660542432,0.0036293249455601256,0.0033444816053511705,0.0029850746268656717,0.0033265837431298816,0.0019049528774814518,0.004942339373970346,0.0011281906642222536
FO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,0.0006999125109361329,0.0026615049600774254,0.0018008747105737071,0.0007960199004975124,0.0018802429852473243,0.002105474233005815,0.001098297638660077,0.0023974051614722887
FQ,0.0010498687664041995,0.0016936849745947254,0.0019295086184718292,0.001791044776119403,0.0017356089094590686,0.0020052135552436332,0.0009152480322167307,0.001833309829361162
FR,0.0010498687664041995,0.002782482458262763,0.0012863390789812194,0.0021890547263681594,0.0013017066820943013,0.0019049528774814518,0.0020135456708768075,0.0015512621633055987
FS,0.004724409448818898,0.0029034599564481006,0.004888088500128634,0.004975124378109453,0.003181949667341626,0.0038099057549629035,0.004576240161083654,0.0023974051614722887
FT,0.0029746281714785653,0.002056617469150738,0.0038590172369436584,0.003383084577114428,0.002458779288400347,0.00240625626629236,0.0023796448837635,0.0025384289945000705
FU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FV,0.0019247594050743656,0.0032663924510041133,0.002829945973758683,0.0029850746268656717,0.004917558576800694,0.0022057349107679966,0.003477942522423577,0.0016922859963333804
FW,0.0005249343832020997,0.0007258649891120251,0.00038590172369436584,0.0007960199004975124,0.00101243853051779,0.0007018247443352717,0.00018304960644334616,0.0007051191651389084
FY,0.002099737532808399,0.0015727074764093879,0.0016722408026755853,0.001990049751243781,0.0034712178189181373,0.0022057349107679966,0.0032948929159802307,0.0011281906642222536
