,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
EP,0.001887116143420827,0.0018928191174730864,0.0007567158531971245,0.0009821253191907287,0.0012835139760410724,0.0019690853598503494,0.0005377307761247536,0.0017965726920950802
EQ,0.002230228169497341,0.0015379155329468827,0.002774624795056123,0.0019642506383814574,0.0017113519680547634,0.0025598109678054543,0.000716974368166338,0.0017965726920950802
ER,0.002401784182535598,0.0033124334555779014,0.00340522133938706,0.0019642506383814574,0.0011409013120365088,0.003544353647730629,0.001792435920415845,0.0037313432835820895
ES,0.00394578829987991,0.0018928191174730864,0.0017656703241266238,0.0025535258298958947,0.002567027952082145,0.002658265235797972,0.00358487184083169,0.003316749585406302
ET,0.004803568365071196,0.0035490358452620373,0.00390969857485181,0.0027499508937340405,0.002567027952082145,0.0030520823077680418,0.0037641154328732747,0.002902155887230514
EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV,0.0034311202607651397,0.0029575298710516978,0.0035313406482532475,0.0058927519151443725,0.00356531660011409,0.0034458993797381117,0.001433948736332676,0.0020729684908789387
EW,0.0008577800651912849,0.0008281083638944754,0.00037835792659856227,0.00019642506383814575,0.0002852253280091272,0.0002953628039775524,0.0001792435920415845,0.0002763957987838585
EY,0.003259564247726883,0.0021294215071572223,0.0016395510152604363,0.0017678255745433118,0.0011409013120365088,0.0009845426799251747,0.0021509231044990144,0.0012437810945273632
E*,0.0006862240521530279,0.0004732047793682716,0.0007567158531971245,0.0,0.0002852253280091272,0.0003938170719700699,0.0001792435920415845,0.0
FA,0.00394578829987991,0.0033124334555779014,0.0020179089418589985,0.001571400510705166,0.00356531660011409,0.0021659938958353843,0.0016131923283742606,0.0024875621890547263
FC,0.00017155601303825698,0.001183011948420679,0.0011350737797956867,0.0011785503830288745,0.0018539646320593268,0.0003938170719700699,0.0016131923283742606,0.0017965726920950802
FD,0.0027448962086121117,0.0021294215071572223,0.003657459957119435,0.0027499508937340405,0.0029948659440958356,0.0021659938958353843,0.0030471410647069366,0.0008291873963515755
FE,0.0025733401955738548,0.002602626286525494,0.0016395510152604363,0.003928501276762915,0.0012835139760410724,0.0011814512159102097,0.001433948736332676,0.0006909894969596462
FF,0.002916452221650369,0.0017745179226310187,0.002774624795056123,0.0025535258298958947,0.0015687393040501997,0.0033474451117455942,0.0016131923283742606,0.0020729684908789387
FG,0.001887116143420827,0.002720927481367562,0.002144028250725186,0.003339226085248478,0.002567027952082145,0.0017721768238653146,0.0021509231044990144,0.002625760088446656
FH,0.000514668039114771,0.0014196143381048148,0.0006305965443309371,0.0011785503830288745,0.0005704506560182544,0.0014768140198877621,0.000716974368166338,0.001105583195135434
FI,0.0053182364041859664,0.003430734650419969,0.00390969857485181,0.006285602042820664,0.0024244152880775814,0.002264448163827902,0.00394335902491486,0.001658374792703151
FK,0.004460456338994682,0.0030758310658937655,0.00441417581031656,0.003928501276762915,0.00356531660011409,0.002067539627842867,0.0030471410647069366,0.0009673852957435047
FL,0.004460456338994682,0.0031941322607358332,0.004035817883717997,0.006285602042820664,0.006132344552196235,0.004331987791670769,0.005915038537372289,0.003454947484798231
FM,0.001029336078229542,0.0010647107535786111,0.0006305965443309371,0.000785700255352583,0.00042783799201369084,0.0012799054839027272,0.0012547051442910915,0.0008291873963515755
FN,0.0027448962086121117,0.0028392286762096296,0.0016395510152604363,0.003339226085248478,0.0031374786081003994,0.0016737225558727971,0.00358487184083169,0.0012437810945273632
FO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,0.0017155601303825698,0.002484325091683426,0.0006305965443309371,0.001571400510705166,0.001426126640045636,0.002461356699812937,0.0016131923283742606,0.003316749585406302
FQ,0.0013724481043060558,0.00224772270199929,0.0020179089418589985,0.0005892751915144372,0.0012835139760410724,0.002067539627842867,0.000716974368166338,0.0009673852957435047
FR,0.0017155601303825698,0.003667337040104105,0.0018917896329928112,0.0017678255745433118,0.0011409013120365088,0.0029536280397755243,0.0026886538806237675,0.0020729684908789387
FS,0.0053182364041859664,0.004022240624630309,0.004161937192584185,0.0041249263406010605,0.003993154592127781,0.003938170719700699,0.00358487184083169,0.003316749585406302
FT,0.003088008234688626,0.002720927481367562,0.0035313406482532475,0.0025535258298958947,0.004135767256132345,0.002461356699812937,0.002867897472665352,0.002211166390270868
FU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FV,0.0034311202607651397,0.004140541819472376,0.002396266868457561,0.0029463759575721863,0.004135767256132345,0.0015752682878802796,0.0030471410647069366,0.0017965726920950802
FW,0.0006862240521530279,0.0004732047793682716,0.0006305965443309371,0.0003928501276762915,0.0002852253280091272,0.0009845426799251747,0.000358487184083169,0.0015201768933112217
FY,0.0006862240521530279,0.0014196143381048148,0.001513431706394249,0.0029463759575721863,0.002139189960068454,0.0013783597518952446,0.0026886538806237675,0.0009673852957435047
F*,0.0006862240521530279,0.0004732047793682716,0.00037835792659856227,0.00019642506383814575,0.0009982886480319453,0.0005907256079551048,0.000716974368166338,0.0
GA,0.003259564247726883,0.00224772270199929,0.004792533736915122,0.0035356511490866236,0.0034227039361095267,0.004135079255685734,0.0005377307761247536,0.004560530679933665
GC,0.000514668039114771,0.0008281083638944754,0.0,0.0013749754468670202,0.0017113519680547634,0.0007876341439401398,0.0016131923283742606,0.0020729684908789387
GD,0.0025733401955738548,0.003785638234946173,0.003152982721654685,0.0037320762129247694,0.0037079292641186536,0.002264448163827902,0.001792435920415845,0.0031785516860143724
GE,0.0034311202607651397,0.0029575298710516978,0.002144028250725186,0.0019642506383814574,0.0011409013120365088,0.0030520823077680418,0.0021509231044990144,0.0031785516860143724
GF,0.0025733401955738548,0.004377144209156513,0.003152982721654685,0.005107051659791789,0.0027096406160867087,0.002658265235797972,0.0010754615522495072,0.0024875621890547263
GG,0.003088008234688626,0.003667337040104105,0.003657459957119435,0.0058927519151443725,0.002567027952082145,0.0057103475435660135,0.00197167951245743,0.007186290768380321
GH,0.0006862240521530279,0.0018928191174730864,0.0008828351620633119,0.0005892751915144372,0.0012835139760410724,0.0016737225558727971,0.0016131923283742606,0.0013819789939192924
GI,0.004117344312918168,0.004613746598840648,0.005549249590112246,0.0027499508937340405,0.0017113519680547634,0.0032489908437530767,0.004122602616956444,0.0020729684908789387
GK,0.0053182364041859664,0.0035490358452620373,0.005801488207844621,0.004714201532115498,0.0029948659440958356,0.002658265235797972,0.001792435920415845,0.002211166390270868
GL,0.006176016469377252,0.0053235537678930555,0.005549249590112246,0.005303476723629935,0.0031374786081003994,0.004725804863640839,0.0026886538806237675,0.005251520176893312
GM,0.000514668039114771,0.0015379155329468827,0.0016395510152604363,0.0011785503830288745,0.0005704506560182544,0.0012799054839027272,0.0008962179602079225,0.0012437810945273632
GN,0.0027448962086121117,0.002366023896841358,0.00340522133938706,0.005303476723629935,0.002567027952082145,0.0021659938958353843,0.0026886538806237675,0.0020729684908789387
GO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GP,0.00034311202607651396,0.0003549035845262037,0.0002522386177323748,0.0011785503830288745,0.0018539646320593268,0.0027567195037904893,0.0010754615522495072,0.004007739082365948
GQ,0.001544004117344313,0.00224772270199929,0.002144028250725186,0.0011785503830288745,0.0015687393040501997,0.0019690853598503494,0.0001792435920415845,0.0015201768933112217
GR,0.0013724481043060558,0.0031941322607358332,0.002144028250725186,0.002160675702219603,0.001426126640045636,0.004725804863640839,0.0016131923283742606,0.008291873963515755
GS,0.003774232286841654,0.004022240624630309,0.0037835792659856224,0.005696326851306227,0.003993154592127781,0.005414984739588461,0.0026886538806237675,0.007186290768380321
GT,0.0025733401955738548,0.0033124334555779014,0.003657459957119435,0.0037320762129247694,0.004706217912150599,0.0033474451117455942,0.0016131923283742606,0.004836926478717523
GU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GV,0.003259564247726883,0.0031941322607358332,0.004035817883717997,0.0058927519151443725,0.005419281232173417,0.004036624987693216,0.002509410288582183,0.005942509673852957
GW,0.0008577800651912849,0.0005915059742103396,0.0010089544709294992,0.0003928501276762915,0.00042783799201369084,0.0009845426799251747,0.0001792435920415845,0.0013819789939192924
GY,0.0025733401955738548,0.00224772270199929,0.0012611930886618741,0.002357100766057749,0.0017113519680547634,0.0017721768238653146,0.0037641154328732747,0.0013819789939192924
G*,0.00017155601303825698,0.0008281083638944754,0.0007567158531971245,0.0005892751915144372,0.0,0.0004922713399625873,0.0001792435920415845,0.0009673852957435047
HA,0.001200892091267799,0.0010647107535786111,0.0001261193088661874,0.0005892751915144372,0.0011409013120365088,0.0023629024318204193,0.000358487184083169,0.001658374792703151
HC,0.00034311202607651396,0.0007098071690524074,0.0002522386177323748,0.00019642506383814575,0.0005704506560182544,0.0010829969479176922,0.0005377307761247536,0.0009673852957435047
HD,0.000514668039114771,0.0014196143381048148,0.0005044772354647496,0.000785700255352583,0.0005704506560182544,0.0006891798759476223,0.0005377307761247536,0.001658374792703151
HE,0.000514668039114771,0.0004732047793682716,0.0007567158531971245,0.0003928501276762915,0.000713063320022818,0.0011814512159102097,0.000716974368166338,0.001105583195135434
HF,0.0006862240521530279,0.0010647107535786111,0.0008828351620633119,0.0005892751915144372,0.0017113519680547634,0.0013783597518952446,0.001792435920415845,0.0009673852957435047
HG,0.001029336078229542,0.0010647107535786111,0.0010089544709294992,0.000785700255352583,0.0011409013120365088,0.0021659938958353843,0.001433948736332676,0.002763957987838585
HH,0.0,0.001301313143262747,0.0011350737797956867,0.0003928501276762915,0.00042783799201369084,0.0009845426799251747,0.000358487184083169,0.0012437810945273632
HI,0.0008577800651912849,0.0016562167277889507,0.0007567158531971245,0.0005892751915144372,0.0015687393040501997,0.0013783597518952446,0.003226384656748521,0.0017965726920950802
